"guideline","version","file_desc","type","host","method","site","mo","rank_index","ab","disk_dose","breakpoint_S","breakpoint_R","note","sheet"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"E. coli",NA,"Nitroxoline (uncomplicated UTI only)",NA,"16","16",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"E. coli",NA,"Nitroxoline (uncomplicated UTI only)","30 mcg","15","15",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Trimethoprim  (uncomplicated UTI only)",NA,"2","4",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Trimethoprim  (uncomplicated UTI only)","5 mcg","18","15",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Trimethoprim-sulfamethoxazole",NA,"2","4","[3] Trimethoprim:sulfamethoxazole in the ratio 1:19. Breakpoints are expressed as the trimethoprim concentration.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Trimethoprim-sulfamethoxazole","1.25/23.75 mcg","14","11","[3] Trimethoprim:sulfamethoxazole in the ratio 1:19. Breakpoints are expressed as the trimethoprim concentration.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Pseudomonas spp.",NA,"Piperacillin",NA,"16","16",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Pseudomonas spp.",NA,"Piperacillin","30 mcg","18","18",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Pseudomonas spp.",NA,"Piperacillin-tazobactam",NA,"16","16","[1] For susceptibility testing purposes, the concentration of tazobactam is fixed at 4 mg/L.","Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Pseudomonas spp.",NA,"Piperacillin-tazobactam","30/6 mcg","18","18",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Pseudomonas spp.",NA,"Ticarcillin",NA,"16","16",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Pseudomonas spp.",NA,"Ticarcillin","75 mcg","18","18",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Pseudomonas spp.",NA,"Ticarcillin-clavulanic acid",NA,"16","16","[2] For susceptibility testing purposes, the concentration of clavulanic acid is fixed at 2 mg/L.","Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Pseudomonas spp.",NA,"Ticarcillin-clavulanic acid","75/10 mcg","18","18",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Pseudomonas spp.",NA,"Cefepime",NA,"8","8",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Pseudomonas spp.",NA,"Cefepime","30 mcg","21","21",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Pseudomonas spp.",NA,"Ceftazidime",NA,"8","8",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Pseudomonas spp.",NA,"Ceftazidime","10 mcg","17","17",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"P. aeruginosa",NA,"Ceftazidime-avibactam",NA,"8","8","[1] For susceptibility testing purposes, the concentration of avibactam is fixed at 4 mg/L.","Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"P. aeruginosa",NA,"Ceftazidime-avibactam","10/4 mcg","17","17",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Pseudomonas spp.",NA,"Ceftobiprole",NA,"IE","IE",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Pseudomonas spp.",NA,"Ceftobiprole",NA,"IE","IE",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"P. aeruginosa",NA,"Ceftolozane-tazobactam",NA,"4","4","[2] For susceptibility testing purposes, the concentration of tazobactam is fixed at 4 mg/L.","Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"P. aeruginosa",NA,"Ceftolozane-tazobactam","30/10 mcg","24","24",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Pseudomonas spp.",NA,"Imipenem",NA,"4","4",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Pseudomonas spp.",NA,"Imipenem","10 mcg","20","20",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Pseudomonas spp.",NA,"Meropenem",NA,"2","8",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Pseudomonas spp.",NA,"Meropenem","10 mcg","24","18",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"P. aeruginosa",NA,"Meropenem-vaborbactam",NA,"8","8","[1] For susceptibility testing purposes, the concentration of vaborbactam is fixed at 8 mg/L.","Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"P. aeruginosa",NA,"Meropenem-vaborbactam","IP mcg","IP","IP",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Pseudomonas spp.",NA,"Aztreonam",NA,"16","16",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Pseudomonas spp.",NA,"Aztreonam","30 mcg","18","18",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Pseudomonas spp.",NA,"Ciprofloxacin",NA,"0.5","0.5",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Pseudomonas spp.",NA,"Ciprofloxacin","5 mcg","26","26",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Pseudomonas spp.",NA,"Levofloxacin",NA,"1","1",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Pseudomonas spp.",NA,"Levofloxacin","5 mcg","22","22",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Pseudomonas spp.",NA,"Amikacin",NA,"8","16",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Pseudomonas spp.",NA,"Amikacin","30 mcg","18","15",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Pseudomonas spp.",NA,"Gentamicin",NA,"4","4",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Pseudomonas spp.",NA,"Gentamicin","10 mcg","15","15",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Pseudomonas spp.",NA,"Netilmicin",NA,"4","4",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Pseudomonas spp.",NA,"Netilmicin","10 mcg","12","12",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Pseudomonas spp.",NA,"Tobramycin",NA,"4","4",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Pseudomonas spp.",NA,"Tobramycin","10 mcg","16","16",NA,"Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Pseudomonas spp.",NA,"Colistin",NA,"2","2","[1] Colistin MIC determination should be performed with broth microdilution. Quality control must be performed with both a susceptible QC strain (E. coli ATCC 25922 or P. aeruginosa ATCC 27853) and the colistin resistant E. coli NCTC 13846 (mcr-1 positive).","Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Pseudomonas spp.",NA,"Colistin",NA,"Note","Note","[A] Use an MIC method (broth microdilution only). | [1] Colistin MIC determination should be performed with broth microdilution. Quality control must be performed with both a susceptible QC strain (E. coli ATCC 25922 or P. aeruginosa ATCC 27853) and the colistin resistant E. coli NCTC 13846 (mcr-1 positive).","Pseudomonas"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Stenotrophomonas maltophilia",NA,"Trimethoprim-sulfamethoxazole",NA,"4","4","[1] Trimethoprim:sulfamethoxazole in the ratio 1:19. Breakpoints are expressed as the trimethoprim concentration.","S.maltophilia"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Stenotrophomonas maltophilia",NA,"Trimethoprim-sulfamethoxazole","1.25/23.75 mcg","16","16","[A] Isolates showing any sign of inhibition zone ≥ 16 mm should be reported susceptible and growth within the inhibition zone should be ignored. The density of growth within the zone may vary from a fine haze to substantial growth (see pictures below). | [1] Trimethoprim:sulfamethoxazole in the ratio 1:19. Breakpoints are expressed as the trimethoprim concentration.","S.maltophilia"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Acinetobacter spp.",NA,"Ampicillin-sulbactam",NA,"IE","IE",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Acinetobacter spp.",NA,"Ampicillin-sulbactam",NA,"IE","IE",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Acinetobacter spp.",NA,"Piperacillin",NA,"IE","IE",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Acinetobacter spp.",NA,"Piperacillin",NA,"IE","IE",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Acinetobacter spp.",NA,"Piperacillin-tazobactam",NA,"IE","IE",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Acinetobacter spp.",NA,"Piperacillin-tazobactam",NA,"IE","IE",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Acinetobacter spp.",NA,"Ticarcillin",NA,"IE","IE",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Acinetobacter spp.",NA,"Ticarcillin",NA,"IE","IE",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Acinetobacter spp.",NA,"Ticarcillin-clavulanic acid",NA,"IE","IE",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Acinetobacter spp.",NA,"Ticarcillin-clavulanic acid",NA,"IE","IE",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Acinetobacter spp.",NA,"Imipenem",NA,"2","4",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Acinetobacter spp.",NA,"Imipenem","10 mcg","24","21",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Acinetobacter spp.",NA,"Meropenem",NA,"2","8",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Acinetobacter spp.",NA,"Meropenem","10 mcg","21","15",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Acinetobacter spp.",NA,"Meropenem-vaborbactam",NA,"IE","IE",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Acinetobacter spp.",NA,"Meropenem-vaborbactam",NA,"IE","IE",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Acinetobacter spp.",NA,"Ciprofloxacin",NA,"0.06","1",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Acinetobacter spp.",NA,"Ciprofloxacin","5 mcg","50","21",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Acinetobacter spp.",NA,"Levofloxacin",NA,"0.5","1",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Acinetobacter spp.",NA,"Levofloxacin","5 mcg","23","20",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Acinetobacter spp.",NA,"Amikacin",NA,"8","16",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Acinetobacter spp.",NA,"Amikacin","30 mcg","19","17",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Acinetobacter spp.",NA,"Gentamicin",NA,"4","4",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Acinetobacter spp.",NA,"Gentamicin","10 mcg","17","17",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Acinetobacter spp.",NA,"Netilmicin",NA,"4","4",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Acinetobacter spp.",NA,"Netilmicin","10 mcg","16","16",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Acinetobacter spp.",NA,"Tobramycin",NA,"4","4",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Acinetobacter spp.",NA,"Tobramycin","10 mcg","17","17",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Acinetobacter spp.",NA,"Eravacycline",NA,"IE","IE",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Acinetobacter spp.",NA,"Eravacycline",NA,"IE","IE",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Acinetobacter spp.",NA,"Minocycline",NA,"IE","IE",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Acinetobacter spp.",NA,"Minocycline",NA,"IE","IE",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Acinetobacter spp.",NA,"Tigecycline",NA,"IE","IE",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Acinetobacter spp.",NA,"Tigecycline",NA,"IE","IE",NA,"Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Acinetobacter spp.",NA,"Colistin",NA,"2","2","[1] Colistin MIC determination should be performed with broth microdilution. Quality control must be performed with both a susceptible QC strain (E. coli ATCC 25922 or P. aeruginosa ATCC 27853) and the colistin resistant E. coli NCTC 13846 (mcr-1 positive).","Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Acinetobacter spp.",NA,"Colistin",NA,"Note","Note","[A] Use an MIC method (broth microdilution only). | [1] Colistin MIC determination should be performed with broth microdilution. Quality control must be performed with both a susceptible QC strain (E. coli ATCC 25922 or P. aeruginosa ATCC 27853) and the colistin resistant E. coli NCTC 13846 (mcr-1 positive).","Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Acinetobacter spp.",NA,"Trimethoprim-sulfamethoxazole",NA,"2","4","[2] Trimethoprim:sulfamethoxazole in the ratio 1:19. Breakpoints are expressed as the trimethoprim concentration.","Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Acinetobacter spp.",NA,"Trimethoprim-sulfamethoxazole","1.25/23.75 mcg","14","11","[2] Trimethoprim:sulfamethoxazole in the ratio 1:19. Breakpoints are expressed as the trimethoprim concentration.","Acinetobacter"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterococcus spp.",NA,"Ampicillin",NA,"4","8",NA,"Enterococcus"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterococcus spp.",NA,"Ampicillin","2 mcg","10","8",NA,"Enterococcus"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterococcus spp.",NA,"Ampicillin-sulbactam",NA,"4","8","[4] For susceptibility testing purposes, the concentration of sulbactam is fixed at 4 mg/L. | [3] Susceptibility to ampicillin, amoxicillin and piperacillin with and without beta-lactamase inhibitor can be inferred from ampicillin.","Enterococcus"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterococcus spp.",NA,"Ampicillin-sulbactam",NA,"Note","Note","[3/A] Susceptibility to ampicillin, amoxicillin and piperacillin with and without beta-lactamase inhibitor can be inferred from ampicillin.","Enterococcus"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterococcus spp.",NA,"Amoxicillin",NA,"4","8","[3] Susceptibility to ampicillin, amoxicillin and piperacillin with and without beta-lactamase inhibitor can be inferred from ampicillin.","Enterococcus"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterococcus spp.",NA,"Amoxicillin",NA,"Note","Note","[3/A] Susceptibility to ampicillin, amoxicillin and piperacillin with and without beta-lactamase inhibitor can be inferred from ampicillin.","Enterococcus"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterococcus spp.",NA,"Amoxicillin-clavulanic acid",NA,"4","8","[5] For susceptibility testing purposes, the concentration of clavulanic acid is fixed at 2 mg/L. | [3] Susceptibility to ampicillin, amoxicillin and piperacillin with and without beta-lactamase inhibitor can be inferred from ampicillin.","Enterococcus"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterococcus spp.",NA,"Amoxicillin-clavulanic acid",NA,"Note","Note","[3/A] Susceptibility to ampicillin, amoxicillin and piperacillin with and without beta-lactamase inhibitor can be inferred from ampicillin.","Enterococcus"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterococcus spp.",NA,"Piperacillin",NA,"Note","Note","[3] Susceptibility to ampicillin, amoxicillin and piperacillin with and without beta-lactamase inhibitor can be inferred from ampicillin.","Enterococcus"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterococcus spp.",NA,"Piperacillin",NA,"Note","Note","[3/A] Susceptibility to ampicillin, amoxicillin and piperacillin with and without beta-lactamase inhibitor can be inferred from ampicillin.","Enterococcus"
