"code"	"mo"
"9820"	"B_BRVND"
"9821"	"B_BRCHT"
"9822"	"B_BUDVC"
"9823"	"B_BTYRV"
"9824"	"B_KLBSL_GRNL"
"9825"	"B_CTNLL"
"9826"	"B_CLLLM"
"9827"	"B_CHRMB"
"9829"	"B_COXLL"
"9830"	"B_DRMBC"
"9831"	"B_DRMCC"
"9832"	"B_DRMTP"
"9834"	"B_DSLFVB"
"9835"	"B_DLSTR"
"9836"	"B_DLSGR"
"9837"	"B_EHRLC"
"9838"	"B_EMPDB"
"9839"	"B_ERWIN"
"9840"	"B_ERYSP"
"9841"	"B_FBRBC"
"9842"	"B_GEMLL"
"9843"	"B_GLBCT"
"9846"	"B_HLLLL"
"9849"	"B_JHNSN"
"9850"	"B_KOCUR"
"9851"	"B_KURTH"
"9855"	"B_LMNRL"
"9857"	"B_LCNST"
"9858"	"B_LSTNL"
"9859"	"B_MTHYLB"
"9860"	"B_MTSKL"
"9861"	"B_MLLRL"
"9863"	"B_NCRDP"
"9865"	"B_BRCLL"
"9866"	"B_ONCCC"
"9867"	"B_ORSKV"
"9868"	"B_OLGLL"
"9869"	"B_ORINT"
"9870"	"B_PNBCL"
"9871"	"B_PDCCC"
"9872"	"B_PHTBC"
"9876"	"B_PSYCH"
"9877"	"B_RHDCC"
"9879"	"B_RKNLL"
"9880"	"B_ROTHI"
"9883"	"B_SBLDL"
"9884"	"B_SELNMNS"
"9885"	"B_BSPRA"
"9886"	"B_SNGMNS"
"9889"	"B_STRPTB"
"9890"	"B_SMYCS"
"9891"	"B_SCCNV"
"9892"	"B_STTNL"
"9893"	"B_TYLRL"
"9896"	"B_TSSRL"
"9897"	"B_TRBLS"
"9898"	"B_TSKMR"
"9899"	"B_CRYNB"
"9901"	"B_WKSLL"
"9902"	"B_WSSLL"
"9903"	"B_WLNLL"
"9905"	"B_YKNLL"
"9906"	"B_COXLL_BRNT"
"9999"	"UNKNOWN"
"A.ACM"	"B_AGGRG_ACTN"
"A.ADJ"	"B_GRNLC_ADCN"
"A.AMY"	"B_AGGRG_ACTN"
"A.BAU"	"B_ACNTB_BMNN"
"A.BOV"	"B_AMYCS_BOVS"
"A.BRA"	"B_ACHLP_BRSS"
"A.CALC"	"B_ACNTB_CLCC"
"A.CAP"	"B_ACTNB_CPSL"
"A.CAV"	"B_AERMN_CAVI"
"A.CLA"	"F_ASPRG_CALTS"
